INFO     - 2023-08-15 20:40:13,486, Функция: named_tuple с атрибутами (('zipp-3.6.0.dist-info', 'dir', 'site-packages'), {}). Результат: Path(name='zipp-3.6.0.dist-info', ext='d', root='site-packages')
INFO     - 2023-08-15 20:40:13,486, Функция: named_tuple с атрибутами (('_virtualenv', 'p', 'site-packages'), {}). Результат: Path(name='_virtualenv', ext='p', root='site-packages')
INFO     - 2023-08-15 20:40:13,486, Функция: named_tuple с атрибутами (('_internal', 'dir', 'pip'), {}). Результат: Path(name='_internal', ext='d', root='pip')
INFO     - 2023-08-15 20:40:13,487, Функция: named_tuple с атрибутами (('__main__', 'p', 'pip'), {}). Результат: Path(name='__main__', ext='p', root='pip')
INFO     - 2023-08-15 20:40:13,487, Функция: named_tuple с атрибутами (('_vendor', 'dir', 'pip'), {}). Результат: Path(name='_vendor', ext='d', root='pip')
INFO     - 2023-08-15 20:40:13,487, Функция: named_tuple с атрибутами (('__init__', 'p', 'pip'), {}). Результат: Path(name='__init__', ext='p', root='pip')
INFO     - 2023-08-15 20:40:13,487, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'pip'), {}). Результат: Path(name='__pycache__', ext='d', root='pip')
INFO     - 2023-08-15 20:40:13,487, Функция: named_tuple с атрибутами (('py', 't', 'pip'), {}). Результат: Path(name='py', ext='t', root='pip')
INFO     - 2023-08-15 20:40:13,487, Функция: named_tuple с атрибутами (('network', 'dir', '_internal'), {}). Результат: Path(name='network', ext='d', root='_internal')
INFO     - 2023-08-15 20:40:13,488, Функция: named_tuple с атрибутами (('exceptions', 'p', '_internal'), {}). Результат: Path(name='exceptions', ext='p', root='_internal')
INFO     - 2023-08-15 20:40:13,488, Функция: named_tuple с атрибутами (('distributions', 'dir', '_internal'), {}). Результат: Path(name='distributions', ext='d', root='_internal')
INFO     - 2023-08-15 20:40:13,488, Функция: named_tuple с атрибутами (('self_outdated_check', 'p', '_internal'), {}). Результат: Path(name='self_outdated_check', ext='p', root='_internal')
INFO     - 2023-08-15 20:40:13,488, Функция: named_tuple с атрибутами (('models', 'dir', '_internal'), {}). Результат: Path(name='models', ext='d', root='_internal')
INFO     - 2023-08-15 20:40:13,488, Функция: named_tuple с атрибутами (('configuration', 'p', '_internal'), {}). Результат: Path(name='configuration', ext='p', root='_internal')
INFO     - 2023-08-15 20:40:13,488, Функция: named_tuple с атрибутами (('vcs', 'dir', '_internal'), {}). Результат: Path(name='vcs', ext='d', root='_internal')
INFO     - 2023-08-15 20:40:13,488, Функция: named_tuple с атрибутами (('build_env', 'p', '_internal'), {}). Результат: Path(name='build_env', ext='p', root='_internal')
INFO     - 2023-08-15 20:40:13,489, Функция: named_tuple с атрибутами (('resolution', 'dir', '_internal'), {}). Результат: Path(name='resolution', ext='d', root='_internal')
INFO     - 2023-08-15 20:40:13,489, Функция: named_tuple с атрибутами (('main', 'p', '_internal'), {}). Результат: Path(name='main', ext='p', root='_internal')
INFO     - 2023-08-15 20:40:13,489, Функция: named_tuple с атрибутами (('index', 'dir', '_internal'), {}). Результат: Path(name='index', ext='d', root='_internal')
INFO     - 2023-08-15 20:40:13,489, Функция: named_tuple с атрибутами (('pyproject', 'p', '_internal'), {}). Результат: Path(name='pyproject', ext='p', root='_internal')
INFO     - 2023-08-15 20:40:13,489, Функция: named_tuple с атрибутами (('metadata', 'dir', '_internal'), {}). Результат: Path(name='metadata', ext='d', root='_internal')
INFO     - 2023-08-15 20:40:13,489, Функция: named_tuple с атрибутами (('__init__', 'p', '_internal'), {}). Результат: Path(name='__init__', ext='p', root='_internal')
INFO     - 2023-08-15 20:40:13,489, Функция: named_tuple с атрибутами (('req', 'dir', '_internal'), {}). Результат: Path(name='req', ext='d', root='_internal')
INFO     - 2023-08-15 20:40:13,490, Функция: named_tuple с атрибутами (('wheel_builder', 'p', '_internal'), {}). Результат: Path(name='wheel_builder', ext='p', root='_internal')
INFO     - 2023-08-15 20:40:13,490, Функция: named_tuple с атрибутами (('__pycache__', 'dir', '_internal'), {}). Результат: Path(name='__pycache__', ext='d', root='_internal')
INFO     - 2023-08-15 20:40:13,490, Функция: named_tuple с атрибутами (('cache', 'p', '_internal'), {}). Результат: Path(name='cache', ext='p', root='_internal')
INFO     - 2023-08-15 20:40:13,490, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'network'), {}). Результат: Path(name='__pycache__', ext='d', root='network')
INFO     - 2023-08-15 20:40:13,491, Функция: named_tuple с атрибутами (('lazy_wheel', 'p', 'network'), {}). Результат: Path(name='lazy_wheel', ext='p', root='network')
INFO     - 2023-08-15 20:40:13,491, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'distributions'), {}). Результат: Path(name='__pycache__', ext='d', root='distributions')
INFO     - 2023-08-15 20:40:13,491, Функция: named_tuple с атрибутами (('sdist', 'p', 'distributions'), {}). Результат: Path(name='sdist', ext='p', root='distributions')
INFO     - 2023-08-15 20:40:13,491, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'models'), {}). Результат: Path(name='__pycache__', ext='d', root='models')
INFO     - 2023-08-15 20:40:13,492, Функция: named_tuple с атрибутами (('format_control', 'p', 'models'), {}). Результат: Path(name='format_control', ext='p', root='models')
INFO     - 2023-08-15 20:40:13,492, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'vcs'), {}). Результат: Path(name='__pycache__', ext='d', root='vcs')
INFO     - 2023-08-15 20:40:13,492, Функция: named_tuple с атрибутами (('subversion', 'p', 'vcs'), {}). Результат: Path(name='subversion', ext='p', root='vcs')
INFO     - 2023-08-15 20:40:13,492, Функция: named_tuple с атрибутами (('resolvelib', 'dir', 'resolution'), {}). Результат: Path(name='resolvelib', ext='d', root='resolution')
INFO     - 2023-08-15 20:40:13,492, Функция: named_tuple с атрибутами (('__init__', 'p', 'resolution'), {}). Результат: Path(name='__init__', ext='p', root='resolution')
INFO     - 2023-08-15 20:40:13,492, Функция: named_tuple с атрибутами (('legacy', 'dir', 'resolution'), {}). Результат: Path(name='legacy', ext='d', root='resolution')
INFO     - 2023-08-15 20:40:13,492, Функция: named_tuple с атрибутами (('base', 'p', 'resolution'), {}). Результат: Path(name='base', ext='p', root='resolution')
INFO     - 2023-08-15 20:40:13,493, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'resolvelib'), {}). Результат: Path(name='__pycache__', ext='d', root='resolvelib')
INFO     - 2023-08-15 20:40:13,493, Функция: named_tuple с атрибутами (('found_candidates', 'p', 'resolvelib'), {}). Результат: Path(name='found_candidates', ext='p', root='resolvelib')
INFO     - 2023-08-15 20:40:13,493, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'index'), {}). Результат: Path(name='__pycache__', ext='d', root='index')
INFO     - 2023-08-15 20:40:13,493, Функция: named_tuple с атрибутами (('sources', 'p', 'index'), {}). Результат: Path(name='sources', ext='p', root='index')
INFO     - 2023-08-15 20:40:13,493, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'metadata'), {}). Результат: Path(name='__pycache__', ext='d', root='metadata')
INFO     - 2023-08-15 20:40:13,493, Функция: named_tuple с атрибутами (('__init__', 'p', 'metadata'), {}). Результат: Path(name='__init__', ext='p', root='metadata')
INFO     - 2023-08-15 20:40:13,494, Функция: named_tuple с атрибутами (('__pycache__', 'dir', 'req'), {}). Результат: Path(name='__pycache__', ext='d', root='req')
